"id","name","team","league","year"
"1","Justin Verlander","Detroit Tigers","American","2011"
"2","Ryan Braun","Milwaukee Brewers","National","2011"
"3","Miguel Cabrera","Detroit Tigers","American","2012"
"4","Buster Posey","San Francisco Giants","National","2012"
"5","Miguel Cabrera","Detroit Tigers","American","2013"
"6","Andrew McCutchen","Pittsburgh Pirates","National","2013"
"7","Mike Trout","Los Angeles Angels","American","2014"
"8","Clayton Kershaw","Los Angeles Dodgers","National","2014"
"9","Josh Donaldson","Toronto Blue Jays","American","2015"
"10","Bryce Harper","Washington Nationals","National","2015"
"11","Mike Trout","Los Angeles Angels","American","2016"
"12","Kris Bryant","Chicago Cubs","National","2016"
"13","Jose Altuve","Houston Astros","American","2017"
"14","Giancarlo Stanton","Miami Marlins","National","2017"
"15","Mookie Betts","Boston Red Sox","American","2018"
"16","Christian Yelich","Milwaukee Brewers","National","2018"
"17","Mike Trout","Los Angeles Angels","American","2019"
"18","Cody Bellinger","Los Angeles Dodgers","National","2019"
"19","Jose Abreu","Chicago White Sox","American","2020"
"20","Freddie Freeman","Atlanta Braves","National","2020"
"21","Shohei Ohtani","Los Angeles Angels","American","2021"
"22","Bryce Harper","Philadelphia Phillies","National","2021"